Company ID,Client Status,Vertical Description,Group Description,Deal Type,Business Group,Enhanced Life Stage,Enhanced Lifestage Reason,State  ,Equity Raised To Date 
1618,Former Client,HealthTech,healthcare devices and supplies,Early Stage VC,LifeSci,Early Stage,PB - Early Stage >=$4MM,CA,"$50,333K"
1625,Former Client,SaaS,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$14,500K"
1630,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,EXIT - IPO Event,MA,"$47,390K"
1633,Client,AudioTech,consumer durables,IPO,Tech,Large Corporate,Same,CA,"$331,846K"
1634,Non-Client,FinTech,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,GA,"$21,048K"
1637,Client,FinTech,software,IPO,Tech,Large Corporate,Same,WA,"$823,972K"
1641,Former Client,AdTech,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$119,182K"
1642,Former Client,CleanTech,commercial transportation,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$64,730K"
1649,Client,Big Data,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$174,000K"
1669,Client,Cybersecurity,software,Later Stage VC,Tech,Large Corporate,Same,MA,"$171,739K"
1670,Client,SaaS,healthcare technology systems,Later Stage VC,Tech,Large Corporate,Same,CA,"$153,383K"
1679,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$119,803K"
1686,Client,Internet of Things,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,TX,"$40,512K"
1689,Non-Client,TMT,software,Later Stage VC,Tech,Large Corporate,PB - IPO Event,CA,"$89,000K"
1693,Client,SaaS,software,IPO,Tech,Large Corporate,Same,WA,"$270,911K"
1698,Former Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,MA,"$18,645K"
1698,Non-Client,Internet of Things,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,TX,"$59,314K"
1701,Non-Client,HealthTech,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$209,606K"
1703,Client,TMT,healthcare technology systems,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,FL,"$45,772K"
1704,Former Client,CleanTech,pharmaceuticals and biotechnology,IPO,Tech,Large Corporate,EXIT - IPO Event,NC,"$190,642K"
1704,Non-Client,,,IPO, ,Large Corporate,EXIT - IPO Event,UT,
1709,Non-Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,TN,"$152,005K"
1711,Former Client,,,IPO, ,Large Corporate,Same,TX,
1714,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,GA,"$264,742K"
1718,Non-Client,Artificial Intelligence & Machine Learning,media,Seed Round,Tech,Early Stage,PB - Early Stage >=$4MM,MA,"$12,000K"
1718,Client,,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,PA,"$189,500K"
1721,Former Client,FinTech,other financial services,IPO,Tech,Large Corporate,Same,CA,"$956,733K"
1722,Client,HR Tech,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CO,"$81,495K"
1730,Former Client,Big Data,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$109,000K"
1731,Non-Client,Life Sciences,healthcare technology systems,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$57,074K"
1738,Non-Client,Internet of Things,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$42,857K"
1740,Former Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CO,"$66,644K"
1747,Non-Client,Industrials,commercial products,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$61,454K"
1758,Former Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$115,463K"
1758,Non-Client,Nanotechnology,commercial products,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,RI,"$133,710K"
1759,Non-Client,CleanTech,commercial products,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,NY,"$20,791K"
1759,Client,Wearables & Quantified Self,healthcare devices and supplies,Early Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,OR,"$3,686K"
1760,Client,SaaS,media,Later Stage VC,Tech,Large Corporate,Same,CA,"$571,339K"
1771,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,TX,"$58,109K"
1774,Client,CleanTech,energy equipment,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,NY,"$42,700K"
1776,Non-Client,FinTech,commercial services,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$21,748K"
1776,Non-Client,CleanTech,"exploration, production and refining",Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$772,207K"
1777,Non-Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,NY,"$110,634K"
1778,Non-Client,,healthcare devices and supplies,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$89,922K"
1778,Client,AdTech,commercial services,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,CA,"$29,500K"
1778,Client,CleanTech,energy equipment,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$161,887K"
1779,Former Client,Big Data,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,NY,"$50,780K"
1783,Former Client,FinTech,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,IL,"$88,579K"
1789,Client,Manufacturing,computer hardware,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$69,294K"
1791,Client,CleanTech,chemicals and gases,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$68,851K"
1791,Non-Client,Internet of Things,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,MD,"$13,868K"
1797,Former Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$100,807K"
1798,Former Client,Mobile,transportation,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$5,745K"
1798,Client,Mobile,commercial products,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$41,884K"
1801,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$23,784K"
1801,Client,Cybersecurity,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$107,418K"
1803,Former Client,CleanTech,transportation,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$106,157K"
1804,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$169,473K"
1805,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,MA,"$295,793K"
1805,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$21,624K"
1805,Former Client,TMT,it services,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,GA,"$19,896K"
1807,Non-Client,,,IPO, ,Large Corporate,EXIT - IPO Event,NY,
1812,Client,Manufacturing,commercial products,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$28,164K"
1817,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$197,200K"
1821,Former Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MN,"$152,957K"
1822,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$50,545K"
1824,Client,TMT,semiconductors,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$152,972K"
1825,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$6,078K"
1827,Client,FinTech,software,IPO,Tech,Large Corporate,Moody - >$75MM,CA,"$320,677K"
1827,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,Same,AZ,"$162,401K"
1828,Former Client,Mobile,commercial services,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,WA,"$27,500K"
1829,Non-Client,SaaS,commercial services,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$30,139K"
1829,Non-Client,FinTech,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,UT,"$111,539K"
1830,Non-Client,SaaS,communications and networking,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,UT,"$35,987K"
1830,Non-Client,Life Sciences,healthcare technology systems,Later Stage VC,LifeSci,Large Corporate,Same,WA,"$42,252K"
1832,Non-Client,Restaurant Technology,consumer non-durables,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$193,108K"
1836,Client,SaaS,commercial services,Later Stage VC,Tech,Large Corporate,Same,CO,"$101,937K"
1838,Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$43,500K"
1838,Client,SaaS,software,IPO,Tech,Large Corporate,Same,CA,"$250,000K"
1845,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,LA,"$84,900K"
1846,Client,CleanTech,energy services,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$60,758K"
1847,Non-Client,AdTech,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,NY,"$13,084K"
1849,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$103,807K"
1850,Client,CleanTech,pharmaceuticals and biotechnology,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$92,205K"
1851,Client,CleanTech,energy services,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$174,282K"
1851,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,EXIT - IPO Event,MA,"$149,963K"
1852,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MI,"$79,692K"
1852,Client,FinTech,healthcare technology systems,IPO,Tech,Large Corporate,Moody - >$75MM,NY,"$259,346K"
1854,Client,FinTech,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$61,400K"
1856,Non-Client,Big Data,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,TX,"$46,500K"
1858,Non-Client,Internet of Things,semiconductors,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,MA,"$35,150K"
1868,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$138,995K"
1869,Client,Real Estate Technology,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$490,004K"
1869,Former Client,Mobile,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$320,508K"
1874,Former Client,,,IPO, ,Large Corporate,Same,MI,
1876,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$183,762K"
1876,Former Client,SaaS,software,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$23,634K"
1877,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,PA,"$179,287K"
1879,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$34,699K"
1909,Client,Manufacturing,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,PA,"$110,344K"
1961,Client,CleanTech,energy equipment,IPO,Tech,Large Corporate,Same,CA,"$1,332,022K"
1977,Client,,healthcare devices and supplies,IPO,LifeSci,Large Corporate,EXIT - IPO Event,PA,"$306,243K"
2088,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$66,448K"
2109,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$77,000K"
2138,Client,SaaS,commercial services,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$294,194K"
2191,Former Client,Cybersecurity,software,IPO,Tech,Large Corporate,Same,MA,"$426,403K"
2192,Client,Manufacturing,commercial products,IPO,Tech,Large Corporate,Same,WA,"$269,350K"
2212,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$233,578K"
2264,Former Client,Manufacturing,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$60,778K"
2265,Client,HealthTech,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,WA,"$248,417K"
2265,Former Client,Life Sciences,healthcare devices and supplies,Seed Round,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,WA,"$10,191K"
2268,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$106,046K"
2279,Client,SaaS,software,IPO,Tech,Large Corporate,Same,CA,"$1,017,056K"
2347,Client,TMT,it services,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$143,745K"
2354,Client,Cybersecurity,software,IPO,Tech,Large Corporate,Same,MD,"$551,400K"
2362,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$182,233K"
2420,Former Client,Manufacturing,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,Same,MD,"$53,230K"
2447,Client,EdTech,media,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$105,557K"
2449,Client,Life Sciences,healthcare devices and supplies,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$333,272K"
2452,Client,AgTech,chemicals and gases,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MI,"$86,450K"
2454,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$792,000K"
2454,Non-Client,Big Data,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$249,360K"
2457,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$107,697K"
2457,Former Client,Digital Health,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,TX,"$64,527K"
2461,Non-Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,MA,"$145,653K"
2466,Former Client,TMT,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$124,497K"
2471,Non-Client,Manufacturing,commercial products,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CT,"$29,714K"
2472,Non-Client,Internet of Things,computer hardware,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$22,997K"
2473,Former Client,TMT,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$140,800K"
2477,Client,SaaS,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$135,331K"
2478,Client,Big Data,commercial services,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$47,850K"
2478,Non-Client,SaaS,computer hardware,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$107,187K"
2481,Non-Client,Manufacturing,"metals, minerals and mining",Later Stage VC,Non,Large Corporate,PB - Later Stage >=$50MM,WA,"$74,422K"
2482,Non-Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$8,562K"
2483,Client,Cybersecurity,software,Later Stage VC,Tech,Large Corporate,Same,CA,"$380,731K"
2484,Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,CA,"$40,476K"
2491,Non-Client,Life Sciences,healthcare technology systems,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,IA,"$19,600K"
2492,Client,Nanotechnology,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,PA,"$55,334K"
2492,Former Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$103,559K"
2501,Former Client,SaaS,healthcare technology systems,IPO,LifeSci,Large Corporate,EXIT - IPO Event,TN,
2503,Non-Client,HealthTech,healthcare technology systems,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,CA,"$7,150K"
2514,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,NC,"$19,499K"
2514,Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,UT,"$51,350K"
2520,Client,Internet of Things,consumer durables,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$62,500K"
2521,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$496,432K"
2521,Client,Robotics and Drones,healthcare devices and supplies,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$51,605K"
2523,Client,CleanTech,energy equipment,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$173,381K"
2523,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,MA,"$20,589K"
2524,Client,HealthTech,healthcare technology systems,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,GA,"$81,114K"
2524,Former Client,Big Data,software,Early Stage VC,Tech,Large Corporate,Same,CA,"$10,525K"
2524,Client,Big Data,healthcare technology systems,Early Stage VC,Tech,Early Stage,Moody - <$5MM,CA,"$31,000K"
2525,Non-Client,FinTech,software,Seed Round,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,UT,"$6,629K"
2528,Client,Manufacturing,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,TX,"$64,953K"
2528,Client,Manufacturing,computer hardware,Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,CO,"$14,200K"
2529,Former Client,E-Commerce,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,NY,"$81,750K"
2532,Former Client,Autonomous cars,transportation,Early Stage VC,Tech,Early Stage,PB - Early Stage >=$4MM,CA,"$16,000K"
2535,Non-Client,Life Sciences,healthcare devices and supplies,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CO,"$179,271K"
2538,Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$70,359K"
2539,Non-Client,,"restaurants, hotels and leisure",Later Stage VC,Non,Mid/Late/Corp,PB - Later Stage <$50MM,IL,"$7,820K"
2540,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,WI,"$26,486K"
2540,Former Client,Life Sciences,pharmaceuticals and biotechnology,IPO,LifeSci,Large Corporate,EXIT - IPO Event,CA,"$304,105K"
2540,Client,E-Commerce,software,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,CA,"$125,667K"
2544,Non-Client,,chemicals and gases,Later Stage VC,Non,Large Corporate,PB - Later Stage >=$50MM,IL,"$461,317K"
2544,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$7,600K"
2544,Non-Client,CleanTech,"exploration, production and refining",Later Stage VC,Tech,Mid/Late/Corp,PB - Later Stage <$50MM,TX,"$41,984K"
2544,Non-Client,,healthcare devices and supplies,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,MN,"$27,972K"
2545,Non-Client,CleanTech,semiconductors,Later Stage VC,Tech,Large Corporate,PB - Later Stage >=$50MM,MA,"$293,006K"
2547,Former Client,,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Mid/Late/Corp,PB - Later Stage <$50MM,PA,"$24,929K"
2549,Non-Client,Life Sciences,pharmaceuticals and biotechnology,Later Stage VC,LifeSci,Large Corporate,PB - Later Stage >=$50MM,CA,"$130,796K"
